"","pathway","stat.mean","q.val","contrast"
"1","dme00190 Oxidative phosphorylation",3.2020470609593,0.0736012355922851,"FC_DR_B"
"811","dme01100 Metabolic pathways",5.37822866024434,2.9391877174078e-06,"FC_DRHS_B"
"812","dme01200 Carbon metabolism",3.3106450027373,0.0226339248822847,"FC_DRHS_B"
"813","dme00190 Oxidative phosphorylation",2.9461435328305,0.0452359543465616,"FC_DRHS_B"
"814","dme04141 Protein processing in endoplasmic reticulum",2.82862258164763,0.0452359543465616,"FC_DRHS_B"
"815","dme01230 Biosynthesis of amino acids",2.51580281954649,0.0841580198047849,"FC_DRHS_B"
"816","dme00983 Drug metabolism - other enzymes",2.37713649063615,0.0841580198047849,"FC_DRHS_B"
"817","dme03060 Protein export",2.43533255705787,0.0841580198047849,"FC_DRHS_B"
"818","dme00270 Cysteine and methionine metabolism",2.32732694140782,0.0841580198047849,"FC_DRHS_B"
"819","dme00010 Glycolysis / Gluconeogenesis",2.21444046127434,0.0841580198047849,"FC_DRHS_B"
"820","dme00260 Glycine, serine and threonine metabolism",2.16092591814091,0.0841580198047849,"FC_DRHS_B"
"821","dme00980 Metabolism of xenobiotics by cytochrome P450",2.09652918869077,0.0841580198047849,"FC_DRHS_B"
"822","dme00500 Starch and sucrose metabolism",2.13001029413139,0.0841580198047849,"FC_DRHS_B"
"823","dme00051 Fructose and mannose metabolism",2.12986001942814,0.0841580198047849,"FC_DRHS_B"
"824","dme00040 Pentose and glucuronate interconversions",2.08086274509981,0.0841580198047849,"FC_DRHS_B"
